"","OK","RM","IN","Target"
"X401",3.4,3.66666666666667,2,1
"X402",2.5,3.66666666666667,4.33333333333333,1
"X403",1.85,6.66666666666667,1.33333333333333,0
"X404",3.85,5.33333333333333,4.33333333333333,1
"X405",4.4,4.66666666666667,4.33333333333333,1
"X406",3,1,1,0
"X407",2.6,1.66666666666667,2.33333333333333,1
"X408",1.15,3.66666666666667,3,0
"X409",1.4,1,1.33333333333333,1
"X410",1,1,1,1
"X411",3.85,5,3.66666666666667,1
"X412",1.45,1,1.33333333333333,0
"X413",1.2,3.66666666666667,1.33333333333333,0
"X414",2.65,2.66666666666667,3.33333333333333,1
"X415",4.2,3.33333333333333,4,1
"X416",1,2,1.33333333333333,0
"X417",3.4,2,3,1
"X418",1.9,1.33333333333333,2,0
"X419",3.2,5.33333333333333,4.66666666666667,1
"X420",4.75,2.33333333333333,1.66666666666667,1
"X421",5.1,4,1,1
"X422",4.35,3,4.33333333333333,1
"X423",1.55,6,2.66666666666667,0
"X424",5.25,3.66666666666667,1.66666666666667,1
"X425",5.1,3,3,0
"X426",2.6,1,1,0
"X427",4.55,4.66666666666667,3.66666666666667,1
"X428",2.15,2.33333333333333,3.33333333333333,1
"X429",6.15,2.33333333333333,2,1
"X430",3.35,3,2,0
"X431",5.25,4.66666666666667,2.66666666666667,0
"X432",2.3,2.33333333333333,2.33333333333333,0
"X433",4.5,5.33333333333333,4.66666666666667,1
"X434",4.1,6.66666666666667,4.33333333333333,0
"X435",2.65,2,2,0
"X436",4.6,3.66666666666667,2.33333333333333,1
"X437",2.9,1,1.66666666666667,0
"X438",2.15,3.33333333333333,2,0
"X439",1.6,1.33333333333333,1.33333333333333,0
"X440",2.1,2.33333333333333,3.33333333333333,1
"X441",2.9,2.66666666666667,3,1
"X442",3.55,3.33333333333333,3,1
"X443",1,1,1.33333333333333,0
"X444",3.75,4,3.66666666666667,0
"X445",4,5,1.33333333333333,0
"X446",4.85,1,2.33333333333333,1
"X447",4.15,4.33333333333333,4,1
"X448",4.25,5.33333333333333,3,0
"X449",1.7,3.66666666666667,3.33333333333333,1
"X450",5.45,1.33333333333333,1,0
"X451",2.35,1.66666666666667,2,1
"X452",2.9,2.66666666666667,2,0
"X453",5.9,6.66666666666667,1.66666666666667,1
"X454",3.35,4.33333333333333,3,1
"X455",1,2.33333333333333,1.33333333333333,0
"X456",1.75,1.33333333333333,1,0
"X457",4.5,2.66666666666667,2.66666666666667,0
"X458",4.45,2.33333333333333,3.33333333333333,1
"X459",1.65,2,3,1
"X460",1.5,1,1.66666666666667,0
"X461",2,2.66666666666667,3.33333333333333,0
"X462",3.85,3,2,0
"X463",2.15,2.33333333333333,1,0
"X464",2.6,2,1,0
"X465",3.1,2.66666666666667,2.33333333333333,1
"X466",4.8,2,3.66666666666667,1
"X467",3.8,1,2.33333333333333,1
"X468",4.65,1.66666666666667,2.33333333333333,1
"X469",2.8,2.66666666666667,2,0
"X470",2.9,5.33333333333333,2.33333333333333,0
"X471",3.2,2,1.66666666666667,0
"X472",4.1,3.66666666666667,2.66666666666667,1
"X473",2.85,3,2.33333333333333,1
"X474",1.7,1,1,0
"X475",4.5,5.33333333333333,3.33333333333333,1
"X476",2.25,3.66666666666667,1.33333333333333,0
"X477",2,4.66666666666667,2,0
"X478",1.25,1,1.66666666666667,0
"X479",1,1,3.33333333333333,0
"X480",1,1,1.33333333333333,0
"X481",4.2,2.66666666666667,3.33333333333333,0
"X482",3.7,3,2.33333333333333,1
"X483",4.25,4.33333333333333,2.66666666666667,1
"X484",2.55,4,3,0
"X485",4.2,6.33333333333333,4.33333333333333,1
"X486",3.95,5,1.33333333333333,1
"X487",3.15,2.66666666666667,1,0
"X488",4.7,3,4.33333333333333,1
"X489",1.4,1,1.66666666666667,1
