"","IN_S3","RM_S3Full","RM_S3Three","OK_S3","Study3rawdataset.Condition_S3"
"X512",1.66666666666667,4.4,1.33333333333333,1.75,1
"X513",4.16666666666667,4,1,2.15,1
"X514",1.66666666666667,1.5,1.33333333333333,3.05,0
"X515",1.66666666666667,1.7,1,1,0
"X516",1.83333333333333,4.2,3.33333333333333,4.55,0
"X517",5.33333333333333,3.9,1.33333333333333,3.1,1
"X518",3.33333333333333,3.4,2.33333333333333,3,0
"X519",2.66666666666667,2.8,2,3,0
"X520",2.66666666666667,6,5.66666666666667,3.15,0
"X521",2.83333333333333,4.6,4.66666666666667,4.25,1
"X522",2,4.1,2.66666666666667,1.05,1
"X523",4.16666666666667,4.8,4,3.85,1
"X524",1,2.8,2,3.25,0
"X525",4.66666666666667,6.8,7,4.1,0
"X526",4.16666666666667,3.9,2,3.1,1
"X527",2.33333333333333,6.3,6.66666666666667,4.65,0
"X528",2,2.3,2,1.05,0
"X529",4.5,4,1.66666666666667,2.7,1
"X530",3,3.2,1.33333333333333,2.5,1
"X531",3.16666666666667,3.2,3,3.5,0
"X532",2.83333333333333,3.4,3.33333333333333,1.4,0
"X533",3.33333333333333,3.6,4.66666666666667,5.7,1
"X534",3.66666666666667,4.3,4.33333333333333,4.95,1
"X535",2,2.4,2.33333333333333,4.2,0
"X536",1,5.9,5,3.6,0
"X537",4.66666666666667,3.7,3.33333333333333,4.4,1
"X538",1.83333333333333,3.7,1.66666666666667,3.9,1
"X539",2,4,3.66666666666667,2.7,0
"X540",1.33333333333333,2.6,2,2.75,0
"X541",2.33333333333333,4,4.33333333333333,3.6,0
"X542",3.66666666666667,4,3.66666666666667,1.2,1
"X543",4.33333333333333,4.5,6,4.2,1
"X544",2.16666666666667,3.8,2.66666666666667,3.95,1
"X545",3.83333333333333,4.9,5.66666666666667,4.05,1
"X546",3.33333333333333,4.3,5.33333333333333,5.1,1
"X547",2.66666666666667,3.9,2.66666666666667,3.65,1
"X548",1.5,6.7,6,2.45,0
